DATE,DEWP,MAX,MIN,MXSPD,PRCP,TEMP,VISIB,WDSP,Fog,Rain,Snow,Hail,Thunder,Tornado
1973-03-21,68.6,36.0,21.999999999999996,11.8,0.0,29.666666666666668,2.9,4.5,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-22,73.0,36.0,23.000000000000004,10.9,0.0,28.555555555555557,2.6,5.6,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-23,67.6,37.0,24.0,16.9,0.0,30.555555555555557,2.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-24,57.8,37.0,21.999999999999996,8.0,0.0,30.61111111111111,2.8,3.3,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-25,54.0,38.0,19.0,8.0,0.0,30.166666666666668,3.1,3.6,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-26,59.0,38.0,17.0,7.0,0.0,29.444444444444443,2.4,2.1,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-27,68.5,37.0,19.0,9.9,0.0,29.38888888888889,2.3,5.1,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-28,71.3,33.0,21.0,9.9,0.0,27.555555555555554,2.4,5.8,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-29,74.2,35.0,23.000000000000004,8.0,0.0,28.833333333333332,2.2,5.7,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-30,71.9,37.0,24.0,9.9,0.0,30.0,2.5,7.4,0.0,0.0,0.0,0.0,0.0,0.0
1973-03-31,70.9,38.0,25.0,9.9,0.0,29.0,2.5,8.3,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-01,68.9,39.0,25.0,11.8,0.0,32.22222222222222,2.9,8.5,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-02,64.0,38.0,25.0,8.0,0.0,30.166666666666668,1.8,3.3,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-03,66.6,39.0,21.999999999999996,4.9,0.0,30.666666666666668,2.0,2.1,1.0,0.0,0.0,0.0,0.0,0.0
1973-04-04,72.5,39.0,24.0,8.0,0.0,30.666666666666668,1.5,3.5,1.0,0.0,0.0,0.0,0.0,0.0
1973-04-05,73.2,40.0,24.0,9.9,0.0,32.55555555555556,2.1,5.8,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-06,77.5,38.0,25.0,11.8,0.0,29.77777777777778,2.8,6.8,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-07,78.6,41.0,25.0,8.9,0.0,30.61111111111111,2.6,5.8,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-08,71.4,40.0,26.999999999999996,8.0,0.0,32.888888888888886,2.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-09,73.7,39.0,28.000000000000004,8.0,0.0,32.833333333333336,2.6,5.1,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-10,73.7,39.0,25.0,10.9,0.0,30.055555555555557,3.1,6.9,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-11,75.6,40.0,26.0,15.0,0.0,30.88888888888889,2.9,9.3,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-12,79.0,36.0,28.000000000000004,17.9,0.0,32.22222222222222,3.2,11.9,0.0,0.0,0.0,0.0,0.0,0.0
1973-04-13,80.8,36.0,28.000000000000004,15.9,0.0,31.555555555555557,3.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0
